4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,21,21,21,21,21,21,340,21,21,21,21,21,21,21,21,21,21,243,340,21,21,21,21,21,21,21,21,21,4
4,21,340,340,340,29,29,29,29,243,29,29,340,29,29,340,29,29,29,340,243,29,29,29,29,340,340,29,21,4
4,21,21,242,21,243,29,340,29,340,29,29,29,29,29,29,29,29,29,340,340,29,340,29,29,29,243,29,21,4
4,21,21,21,21,29,29,340,29,29,29,29,340,340,340,29,29,29,29,340,243,29,29,29,340,29,29,29,21,4
4,21,21,21,21,21,21,21,21,21,21,21,21,243,21,21,21,21,21,21,21,21,21,21,29,29,29,340,21,4
4,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,29,29,29,340,21,4
4,21,21,21,21,21,21,21,21,21,21,21,21,21,340,21,21,21,21,21,21,21,21,21,29,29,29,29,21,4
4,21,29,340,29,29,29,29,29,29,340,243,29,29,29,29,340,29,29,29,243,340,29,29,29,29,29,29,21,4
4,21,340,243,340,29,29,29,29,29,29,340,340,29,29,29,340,29,29,340,340,29,29,29,29,29,29,29,21,4
4,21,29,29,29,29,29,29,29,29,29,29,243,340,29,29,29,29,29,29,29,29,29,29,29,29,29,29,21,4
4,21,29,29,29,29,21,21,21,21,21,21,21,21,21,21,21,21,21,21,243,21,21,21,21,243,243,21,21,4
4,21,29,29,29,21,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,21,340,29,21,21,21,21,21,21,21,21,21,21,340,21,21,21,21,21,21,21,21,21,21,21,21,21,21,4
4,21,29,29,29,29,29,29,29,29,243,29,29,29,340,340,340,29,29,29,340,29,29,29,29,29,29,29,21,4
4,21,29,29,29,243,29,29,29,29,340,29,29,29,340,340,29,29,29,29,29,29,29,29,29,29,29,29,21,4
4,21,29,340,29,340,29,29,29,29,340,243,29,29,340,340,29,29,29,29,29,243,29,340,29,29,142,29,21,4
4,21,29,29,29,340,29,29,29,340,340,29,29,29,29,243,29,29,29,340,29,29,29,29,29,29,29,29,21,4
4,21,21,21,21,21,21,21,340,340,340,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
